ITEM,SUPPLIER,BRANCH,AMOUNT,CLASS,ASSIGNED
"Fan Desk 16"" Fukuda",Rheign Daryl Enterprise,CAV,"1,000.00",,4
"Fan Desk 16"" Mitsutech",Rheign Daryl Enterprise,CAV,800,,4
"Fan Desk 16"" Airmax",Rheign Daryl Enterprise,CAV,800,,3
Rice Cooker FRC-15 Fukuda,Rheign Daryl Enterprise,CAV,700,,8
Electric Kettle Nova NK-180S,Rheign Daryl Enterprise,CAV,400,,10
Starter Set 12pc,Rheign Daryl Enterprise,CAV,250,,10
Glass 4pc Classic Juice Essential,Medina Ice,CAV,200,,1
Melaware Rectagular Casserole with Cover,Gatch Tan Rice,GTR,350,,1
Melaware Rectagular Casserole with Cover,Gatch Tan Rice,TAG,350,,1
Flat Iron Tough Mama,Gatch Tan Rice,AVA,400,,1
Melaware Round Casserole ,Gatch Tan Rice,VSP,300,,1
Electric Kettle Camel CK-1000,Gatch Tan Rice,VAL,400,,1
Electric Kettle Camel CK-1000,Gatch Tan Rice,PAV,400,,1
Pitcher & Glassware Home Gallery,Gatch Tan Rice,MOA,200,,1
Melaware Round Casserole ,Gatch Tan Rice,SDH,300,,1
Serving Plate Food Container Microwavable UTD,Gatch Tan Rice,VAL,400,,1
Serving Plate Food Container Microwavable UTD,Gatch Tan Rice,DAS,400,,1
Gas Stove Single Burner Nikon,Gatch Tan Rice,MUN,500,,1
Gas Stove Single Burner Nikon,Gatch Tan Rice,DCC,500,,1
"Fan Desk 16"" Fukuda",Gatch Tan Rice,MOA,800,,1
Rice 5kg,Gatch Tan Rice,SGD,200,,1
Rice 5kg,Gatch Tan Rice,DCC,200,,1
Rice 5kg,Gatch Tan Rice,DIS,200,,1
Rice 5kg,Gatch Tan Rice,VSP,200,,1
Rice 5kg,Gatch Tan Rice,GTR,200,,1
Rice 5kg,Gatch Tan Rice,GLV,200,,1
Rice 5kg,Gatch Tan Rice,HCB,200,,1
Rice 5kg,Gatch Tan Rice,TRI,200,,1
Rice 5kg,Gatch Tan Rice,SLE,200,,1
"Fan Industrial 16""  MISF-16 Mitsutech",Beth Burgos,MUN,"1,200.00",,1
Gas Stove Double Burner Hanabishi,,SUB,"1,200.00",,1
Ice Box 30L Orocan,RT'S Meatshop,GTR,"1,700.00",,1
Water Jug,RT'S Meatshop,GTR,800,,2
Oven Toaster Astron,Gatch Tan Rice,TAG,700,,1
Bowl 1pc Tampere,Gatch Tan Rice,DIS,200,,1
Flat Iron Tough Mama,Gatch Tan Rice,GLV,400,,1
Hot Warm & Cold Water Dispenser Micromatic,Green Air Kitchen,AFC,"2,000.00",,1
Gas Stove Double Burner Fukuda,MS Dedal Printing,AFC,900,,1
Flat Iron Asahi,MS Dedal Printing,AFC,500,,1
Gas Stove Single Burner Asahi,MS Dedal Printing,AFC,700,,1
Rice Cooker Asahi,MS Dedal Printing,AFC,"1,000.00",,1
"Fan Desk 16"" Union",MS Dedal Printing,AFC,"1,500.00",,2
Melaware Rectangular Casserole with Cover,Gatch Tan Rice,HCB,350,,1
Gas Stove Single Burner Nikon,Gatch Tan Rice,SGD,500,,1
Multi-Purpose Hand Tray,ASC Ice,STG,200,,1
Flat Iron Tough Mama,Gatch Tan Rice,STG,450,,1
Electric Kettle Camel CK-1000,Gatch Tan Rice,SLE,400,,1
Gas Stove Single Burner Nikon,Gatch Tan Rice,TRI,500,,1
"LED TV 28"" Prestiz",Randy Garcia,AFC,"8,000.00",,2
Cellphone O+ 2.32 Music,RKMI,GRN,"1,000.00",,1
Cellphone O+ 2.32 Music,RKMI,SLE,"1,000.00",,1
Electric Oven Hanabishi HEO-32SS 32L,Bookfood International,AFC,"3,500.00",,1
DVD Home Entertainment System Samsung,Bookfood International,AFC,"12,000.00",,1
Microwave Oven American Home AMW-22 20L,Bookfood International,AFC,"5,000.00",,1
"LED TV 32"" TCL",Bookfood International,AFC,"10,000.00",,1
Round Storage Set 3pc,Prime Source,MIL,150,,1
"Fan Stand 18"" Fukuda SF-18ASB",Yellow Cab,MIL,"1,200.00",,1
Rice 25kg,Anonuevo,MIL,"1,000.00",,1
Coinbank,Gasul,ANO,200,,1
Tumbler,Beth Burgos,ANO,100,,2
Bath Towel,Beth Burgos,ANO,100,,2
Microwave Oven American Home AMN-25,Neo-Pro Enterprise,AFC,"5,000.00",,1
Multi-Purpose Cooker 8in1 Garant GMC 8in1,Neo-Pro Enterprise,AFC,"2,000.00",,1
Rice Cooker Garant GRC-108,Neo-Pro Enterprise,AFC,"1,000.00",,2
"Fan Desk 16"" Garant GDF-168",Neo-Pro Enterprise,AFC,800,,2
Electric Kettle Multi-function Garant,Neo-Pro Enterprise,AFC,800,,2
Washing Machine GigaWash Jr. Sharp,Neo-Pro Enterprise,AFC,"3,000.00",,1
Gas Stove Single Burner Kyowa KW-3507,New Sin Kian Heng,AFC,700,,1
Oven Toaster Standard SOT-602,New Sin Kian Heng,AFC,900,,1
Fan Box Kyowa KW-6900,New Sin Kian Heng,AFC,"1,000.00",,1
Flat Iron Standard SAI-1002B,New Sin Kian Heng,AFC,"1,000.00",,1
Dinner Set 12pc Florence,New Sin Kian Heng,AFC,300,,1
Rice Cooker Kyowa KW-2012,New Sin Kian Heng,AFC,800,,1
Rice Cooker Carribean CAR-180S,New Sin Kian Heng,AFC,"1,000.00",,1
Kettle Whistling 3L Micromatic,New Sin Kian Heng,AFC,700,,1
Gift Certificate P800,Katalyst Diversified,GLV,800,,1
Cash P500,Russel Diaz,CAB,500,,1
Electric Kettle Eureka,Sofia Seafood,HFT,400,,1
Melaware Round Casserole ,Gatch Tan Rice,HFT,300,,1
Multi-Purpose Hand Tray,ASC Ice,HFT,200,,1
Rice 5kg,Gatch Tan Rice,HFT,200,,1
Bath Towel,Beth Burgos,TRI,100,,2
Tumbler,Beth Burgos,TRI,100,,2
Electric Kettle Nova NK-180S,Sofia Seafood,STG,400,,1
Grocery Pack,Unilever,STG,250,,1
Rice 5kg,Gatch Tan Rice,STG,200,,1
Umbrella,Sofia Seafood,STG,100,,1
Refrigerator 7cu.,Albert Alquiros,AFC,"10,000.00",,4
Microwave Oven,Albert Alquiros,AFC,"5,000.00",,3
Oven Toaster,Albert Alquiros,AFC,900,,3
Washing Machine ,Albert Alquiros,AFC,"3,000.00",,2
Cellphone O+ 2.32 Music,RKMI,MOR,"1,000.00",,1
"Tablet 8"" Insignia Flex",Metro North Gas,MOR,"3,000.00",,1
Melaware Round Casserole ,Gatch Tan Rice,MOR,300,,1
Rice 5kg,Gatch Tan Rice,MOR,200,,1
"Fan Stand 18"" Nikon CSF-1609C",Dimax,MOR,"1,200.00",,1
Grocery Pack,Earth H2O Water Tube Ice,SGD,250,,1
Bath Towel,Beth Burgos,SGD,100,,2
Tumbler,Beth Burgos,SGD,100,,2
"Fan Stand Industrial Mitsutech 16""",Beth Burgos,AFC,"2,000.00",,3
Refrigerator 5.6cu. Condura CS 171SA ,Beth Burgos,AFC,"20,000.00",,1
Washing Machine Sharp Gigawash,Beth Burgos,AFC,"8,000.00",,1
"Fan Desk 12"" Eureka EDF-12ECO",Beth Burgos,AFC,700,,16
Rice Cooker Hanabishi 1.5L HHRC-15HYP,Beth Burgos,AFC,"1,000.00",,2
"Fan Desk 16"" Airmax",Beth Burgos,AFC,800,,12
Washing Machine Single Tub Fujidenzo JW-S680,Beth Burgos,AFC,"3,400.00",,1
Beverage Dispenser with 4pc Mason Jar ,Beth Burgos,AFC,800,,13
Rice Cooker Extreme XRC-8W,TRL Meat Dealer,AFC,"1,000.00",,16
Flat Iron Nova NFI-129,Sonza Trading,AFC,400,,1
Blender Eureka EEB-1.25L,Sonza Trading,AFC,"1,300.00",,1
Washing Machine Single Tub Hanabishi HWM-162,Tebeemini Corporation,AFC,"5,000.00",,1
Rice 5kg,Gatch Tan Rice,GRN,200,,1
Serving Plate Food Container Microwavable UTD,Gatch Tan Rice,GRN,400,,1
Pitcher & Glassware Home Gallery,Gatch Tan Rice,MAR,200,,1
Rectangular Glass Bake Dish Vendome,Gatch Tan Rice,ATC,400,,1
"Fan Desk 16"" Fukuda",Gatch Tan Rice,ATC,"1,000.00",,1
"Fan Desk 16"" Fukuda",Gatch Tan Rice,MAR,"1,000.00",,1
Water Jug Insulated Cooler Orocan 12L,ASC Ice,MAR,800,,1
Gas Stove Double Burner Shine,Olongapo Gas,SUB,900,,1
Dish Rack,MJV Industries,GRN,200,,1
Fan Stand Camel CSF-1609C,Dimax,GRN,"1,100.00",,1
Washing Machine 7.8kg Eureka EWM-780S,Eric Manaog,AFC,"3,500.00",,2
"Fan Stand 16"" Union UGSF-1635R",Eric Manaog,AFC,"2,000.00",,5
Electric Stove Astron ES-173,Eric Manaog,AFC,700,,8
Electric Stove Fukuda FES-27C,Eric Manaog,AFC,550,,2
"LED TV 32"" Promac LED-H3282M",Eric Manaog,AFC,"8,000.00",,2
"Fan Desk 12"" Eureka EDF-12ECO",Beth Burgos,MAR,700,,1
Bath Towel,Beth Burgos,MAR,100,,1
Tumbler,Beth Burgos,MAR,100,,3
Tumbler,Beth Burgos,NOR,100,,2
Bath Towel,Beth Burgos,NOR,100,,2
Cash P500,Russel Diaz,CMC,500,,1
"Cash P1,500",Virginia Javier,CMC,"1,500.00",,1
"Cash P1,500",Virginia Javier,CAB,"1,500.00",,1
Cash P300,Virgilio Vegetable,CAB,300,,1
Cash P300,Virgilio Vegetable,CMC,300,,1
Cash P500,Gapan Ice Plant,CMC,500,,1
Flat Iron Camel CFI-1010,Gatch Tan Rice,BAL,"1,000.00",,1
Electric Kettle Nova NMK-150B,Santana Enterprise,SOU,700,,1
Tumbler,Beth Burgos,WVA,100,,3
Bath Towel,Beth Burgos,WVA,100,,2
Melaware Round Casserole ,Gatch Tan Rice,WVA,300,,1
